time,bam10,bam25
2019-10-11-03,42,20
2019-10-11-04,39,20
2019-10-11-05,39,19
2019-10-11-06,34,17
2019-10-11-07,34,17
2019-10-11-08,31,15
2019-10-11-09,34,15
2019-10-11-10,42,17
2019-10-11-11,44,19
2019-10-11-12,44,17
2019-10-11-13,37,17
2019-10-11-14,33,16
2019-10-11-15,33,17
2019-10-11-16,33,17
2019-10-11-17,30,17
2019-10-11-18,34,19
2019-10-11-19,35,20
2019-10-11-20,38,20
2019-10-11-21,38,19
2019-10-11-22,30,17
2019-10-11-23,29,15
2019-10-11-24,26,14
2019-10-12-01,30,11
2019-10-12-02,29,14
2019-10-12-03,32,16
2019-10-12-04,29,15
2019-10-12-05,28,15
2019-10-12-06,27,14
2019-10-12-07,30,14
2019-10-12-08,30,14
2019-10-12-09,28,12
2019-10-12-10,27,9
2019-10-12-11,27,8
2019-10-12-12,29,8
2019-10-12-13,28,9
2019-10-12-14,27,9
2019-10-12-15,30,10
2019-10-12-16,28,10
2019-10-12-17,25,10
2019-10-12-18,26,10
2019-10-12-19,27,9
2019-10-12-20,23,8
2019-10-12-21,21,7
2019-10-12-22,21,7
2019-10-12-23,23,8
2019-10-12-24,21,7
2019-10-13-01,21,6
2019-10-13-02,19,7
2019-10-13-03,19,7
2019-10-13-04,18,6
2019-10-13-05,20,5
2019-10-13-06,19,6
2019-10-13-07,20,9
2019-10-13-08,19,7
2019-10-13-09,19,8
2019-10-13-10,17,6
2019-10-13-11,19,6
2019-10-13-12,19,6
2019-10-13-13,20,5
2019-10-13-14,18,6
2019-10-13-15,16,6
2019-10-13-16,21,7
2019-10-13-17,23,6
2019-10-13-18,23,11
2019-10-13-19,23,11
2019-10-13-20,24,11
2019-10-13-21,25,11
2019-10-13-22,29,13
2019-10-13-23,37,22
2019-10-13-24,38,20
2019-10-14-01,36,16
2019-10-14-02,30,14
2019-10-14-03,27,11
2019-10-14-04,25,13
2019-10-14-05,23,12
2019-10-14-06,23,11
2019-10-14-07,26,13
2019-10-14-08,30,13
2019-10-14-09,39,14
2019-10-14-10,46,19
2019-10-14-11,48,22
2019-10-14-12,48,21
2019-10-14-13,39,19
2019-10-14-14,31,16
2019-10-14-15,32,17
2019-10-14-16,35,16
2019-10-14-17,33,15
2019-10-14-18,33,15
2019-10-14-19,37,14
2019-10-14-20,40,13
2019-10-14-21,46,13
2019-10-14-22,46,13
2019-10-14-23,48,14
2019-10-14-24,46,13
2019-10-15-01,43,12
2019-10-15-02,43,14
2019-10-15-03,41,14
2019-10-15-04,41,12
2019-10-15-05,41,12
2019-10-15-06,34,12
2019-10-15-07,21,7
2019-10-15-08,12,4
2019-10-15-09,18,4
2019-10-15-10,12,2
2019-10-15-11,8,2
2019-10-15-12,8,4
2019-10-15-13,8,3
2019-10-15-14,9,2
2019-10-15-15,12,3
2019-10-15-16,,
2019-10-15-17,,
2019-10-15-18,,
2019-10-15-19,,
2019-10-15-20,25,14
2019-10-15-21,22,12
2019-10-15-22,27,13
2019-10-15-23,21,13
2019-10-15-24,24,11
2019-10-16-01,26,9
2019-10-16-02,22,10
2019-10-16-03,20,10
2019-10-16-04,16,9
2019-10-16-05,16,9
2019-10-16-06,15,9
2019-10-16-07,15,10
2019-10-16-08,18,10
2019-10-16-09,23,8
2019-10-16-10,22,9
2019-10-16-11,25,8
2019-10-16-12,25,9
2019-10-16-13,30,11
2019-10-16-14,30,15
2019-10-16-15,31,14
2019-10-16-16,33,14
2019-10-16-17,35,17
2019-10-16-18,32,16
2019-10-16-19,33,18
2019-10-16-20,36,17
2019-10-16-21,37,16
2019-10-16-22,40,18
2019-10-16-23,39,18
2019-10-16-24,37,18
2019-10-17-01,38,17
2019-10-17-02,38,18
2019-10-17-03,39,19
2019-10-17-04,36,19
2019-10-17-05,35,19
