,AI,RAW,PM10,RH,TEMP
2019-09-15 9:00,19.22946203,26.9778481,29.20253165,68.09651899,25.66199367
2019-09-15 10:00,15.18721519,15.15506329,15.85759494,47.65781646,32.44044304
2019-09-15 11:00,13.44111465,10.81528662,11.32484076,36.30340764,36.67070064
2019-09-15 12:00,12.65607595,9.787974684,10.19303797,34.43503165,37.77161392
2019-09-15 13:00,11.39525316,7.294303797,7.588607595,28.91202532,40.76303797
2019-09-15 14:00,11.23589342,6.166144201,6.4169279,26.21448276,42.37924765
2019-09-15 15:00,10.84672956,5.685534591,5.858490566,25.67028302,42.28716981
2019-09-15 16:00,9.447389937,5.877358491,6.132075472,30.16506289,38.93984277
2019-09-15 17:00,9.255063291,7.085443038,7.405063291,35.14544304,35.39177215
2019-09-15 18:00,9.172271293,6.905362776,7.242902208,34.52425868,35.88826498
2019-09-15 19:00,10.15683544,7.905063291,8.262658228,44.94825949,31.51310127
2019-09-15 20:00,8.482579618,5.824840764,6.261146497,49.44461783,29.77194268
2019-09-15 21:00,7.882848101,5.21835443,5.591772152,50.37136076,29.33753165
2019-09-15 22:00,7.197626582,4.284810127,4.598101266,53.47933544,28.28113924
2019-09-15 23:00,4.710698413,2.015873016,2.212698413,53.51780952,27.25047619
2019-09-16 0:00,4.458449367,1.762658228,1.981012658,54.86177215,26.60113924
2019-09-16 1:00,4.444050633,1.743670886,1.952531646,55.27300633,26.49613924
2019-09-16 2:00,4.242208202,1.52681388,1.738170347,55.8029653,26.29242902
2019-09-16 3:00,4.053227848,1.329113924,1.481012658,57.11626582,25.80389241
2019-09-16 4:00,4.775962145,2.034700315,2.271293375,58.4122082,25.8329653
2019-09-16 5:00,4.949303797,2.246835443,2.452531646,59.32781646,25.56996835
2019-09-16 6:00,5.569462025,3.03164557,3.231012658,60.86367089,25.19708861
2019-09-16 7:00,6.226190476,3.577777778,3.819047619,61.61307937,25.39466667
2019-09-16 8:00,7.583817035,4.675078864,5.015772871,60.61905363,26.08246057
2019-09-16 9:00,9.921555556,7.374603175,7.815873016,53.85685714,28.06171429
2019-09-16 10:00,8.639113924,6.610759494,7.085443038,43.99436709,31.24493671
2019-09-16 11:00,8.883616352,6.226415094,6.588050314,29.59569182,36.94361635
2019-09-16 12:00,11.63433544,7.243670886,7.715189873,24.43462025,40.58449367
2019-09-16 13:00,10.76914286,5.59047619,5.977777778,21.67447619,41.39111111
2019-09-16 14:00,10.0877918,4.135646688,4.56466877,17.86747634,41.67615142
2019-09-16 15:00,9.837097792,3.542586751,3.876971609,17.30044164,42.11671924
2019-09-16 16:00,10.1311746,3.822222222,4.123809524,17.64409524,42.37784127
2019-09-16 17:00,8.879085174,3.634069401,3.905362776,19.39731861,40.26895899
2019-09-16 18:00,7.053386076,3.844936709,4.142405063,24.9181962,36.76025316
2019-09-16 19:00,5.432412698,3.993650794,4.295238095,32.22415873,32.06111111
2019-09-16 20:00,7.083714286,5.561904762,5.917460317,34.79495238,30.34492063
2019-09-16 21:00,8.412586751,6.675078864,7.126182965,35.3692429,29.48315457
2019-09-16 22:00,8.255094937,6.376582278,6.800632911,38.41794304,28.38082278
